Blink Tracking Session: phase1_cycle1_1761465735198
Start Time: 2025-10-26T04:02:15.203701
EAR Threshold: 0.21
==================================================
Timestamp, Blink Number, Relative Time (s), EAR
2025-10-26T04:02:20.318842, 1, 5.12, 0.215
2025-10-26T04:02:20.994283, 2, 5.79, 0.213
2025-10-26T04:02:21.799022, 3, 6.6, 0.250
2025-10-26T04:02:26.183954, 4, 10.98, 0.211
2025-10-26T04:02:30.046837, 5, 14.84, 0.270
2025-10-26T04:02:32.579344, 6, 17.38, 0.217
2025-10-26T04:02:35.921957, 7, 20.72, 0.214
2025-10-26T04:02:36.191223, 8, 20.99, 0.212
2025-10-26T04:02:37.105234, 9, 21.9, 0.216
2025-10-26T04:02:38.735429, 10, 23.53, 0.253
2025-10-26T04:02:39.252594, 11, 24.05, 0.280
2025-10-26T04:02:42.305129, 12, 27.1, 0.316
2025-10-26T04:02:43.913549, 13, 28.71, 0.246
2025-10-26T04:02:45.774230, 14, 30.57, 0.242
2025-10-26T04:02:46.975064, 15, 31.77, 0.222
2025-10-26T04:02:47.505216, 16, 32.3, 0.249
2025-10-26T04:02:48.458994, 17, 33.26, 0.256
2025-10-26T04:02:49.252571, 18, 34.05, 0.211
2025-10-26T04:02:51.642282, 19, 36.44, 0.220
2025-10-26T04:02:52.572359, 20, 37.37, 0.211
2025-10-26T04:02:53.504060, 21, 38.3, 0.220
2025-10-26T04:02:55.907490, 22, 40.7, 0.302
2025-10-26T04:02:56.433127, 23, 41.23, 0.222
2025-10-26T04:02:58.453999, 24, 43.25, 0.219
2025-10-26T04:02:58.976902, 25, 43.77, 0.317
2025-10-26T04:02:59.632221, 26, 44.43, 0.218
2025-10-26T04:03:02.434261, 27, 47.23, 0.237
2025-10-26T04:03:03.236936, 28, 48.03, 0.217
2025-10-26T04:03:04.489547, 29, 49.29, 0.261
2025-10-26T04:03:06.079937, 30, 50.88, 0.214
2025-10-26T04:03:07.682414, 31, 52.48, 0.224
2025-10-26T04:03:08.032026, 32, 52.83, 0.237
2025-10-26T04:03:08.648768, 33, 53.45, 0.211
2025-10-26T04:03:08.883439, 34, 53.68, 0.216
2025-10-26T04:03:10.435810, 35, 55.23, 0.219
2025-10-26T04:03:11.485614, 36, 56.28, 0.212
2025-10-26T04:03:13.229608, 37, 58.03, 0.217
2025-10-26T04:03:14.888356, 38, 59.69, 0.211
2025-10-26T04:03:15.487086, 39, 60.28, 0.217
2025-10-26T04:03:19.095059, 40, 63.89, 0.238
2025-10-26T04:03:20.989139, 41, 65.79, 0.229
2025-10-26T04:03:22.686710, 42, 67.48, 0.241
2025-10-26T04:03:24.154815, 43, 68.95, 0.271
2025-10-26T04:03:25.224264, 44, 70.02, 0.219
2025-10-26T04:03:26.142556, 45, 70.94, 0.256
2025-10-26T04:03:26.941354, 46, 71.74, 0.246
2025-10-26T04:03:27.918898, 47, 72.72, 0.274
2025-10-26T04:03:28.948719, 48, 73.75, 0.225
2025-10-26T04:03:30.020916, 49, 74.82, 0.272
2025-10-26T04:03:32.147784, 50, 76.95, 0.269
2025-10-26T04:03:32.946064, 51, 77.74, 0.232
2025-10-26T04:03:33.469132, 52, 78.27, 0.266
2025-10-26T04:03:34.012509, 53, 78.81, 0.221
2025-10-26T04:03:35.614206, 54, 80.41, 0.279
2025-10-26T04:03:36.549223, 55, 81.35, 0.288
2025-10-26T04:03:37.258874, 56, 82.06, 0.218
2025-10-26T04:03:38.014221, 57, 82.81, 0.284
2025-10-26T04:03:39.070054, 58, 83.87, 0.211
2025-10-26T04:03:39.250868, 59, 84.05, 0.227
2025-10-26T04:03:39.749040, 60, 84.55, 0.225
2025-10-26T04:03:41.344583, 61, 86.14, 0.227
2025-10-26T04:03:43.249446, 62, 88.05, 0.217
2025-10-26T04:03:44.715287, 63, 89.51, 0.213
2025-10-26T04:03:46.405598, 64, 91.2, 0.213
2025-10-26T04:03:49.615388, 65, 94.41, 0.222
2025-10-26T04:03:49.955749, 66, 94.75, 0.215
2025-10-26T04:03:54.674260, 67, 99.47, 0.270
2025-10-26T04:03:55.868686, 68, 100.67, 0.222
2025-10-26T04:03:56.930784, 69, 101.73, 0.211
2025-10-26T04:04:01.244262, 70, 106.04, 0.210
2025-10-26T04:04:02.268427, 71, 107.07, 0.210
2025-10-26T04:04:02.934562, 72, 107.73, 0.212
2025-10-26T04:04:09.452815, 73, 114.25, 0.224
2025-10-26T04:04:10.525277, 74, 115.32, 0.211
2025-10-26T04:04:12.264561, 75, 117.06, 0.235
2025-10-26T04:04:14.086902, 76, 118.88, 0.215
2025-10-26T04:04:15.596286, 77, 120.39, 0.278
