Eye Tracking Session: phase1_cycle1_1761461564162
Start Time: 2025-10-26T02:52:44.164803
Screen Size: 1920x1080
================================================================================
Timestamp,Type,X,Y,RelativeTime(ms),EventNumber
2025-10-26T02:52:44.792074,GAZE,976,1080,628,10
2025-10-26T02:52:45.113628,GAZE,528,939,949,20
2025-10-26T02:52:45.452207,GAZE,0,1080,1288,30
2025-10-26T02:52:45.785467,GAZE,0,1080,1621,40
2025-10-26T02:52:46.121947,GAZE,13,1080,1958,50
2025-10-26T02:52:46.459494,GAZE,214,1080,2295,60
2025-10-26T02:52:46.797875,GAZE,217,1080,2634,70
2025-10-26T02:52:47.132292,GAZE,85,1080,2968,80
2025-10-26T02:52:47.466771,GAZE,115,1016,3302,90
2025-10-26T02:52:47.803160,GAZE,152,1052,3639,100
2025-10-26T02:52:48.121265,GAZE,176,1024,3957,110
2025-10-26T02:52:48.456803,GAZE,164,1080,4293,120
2025-10-26T02:52:48.791969,GAZE,216,1080,4628,130
2025-10-26T02:52:49.134754,GAZE,156,1080,4970,140
2025-10-26T02:52:49.467424,GAZE,108,959,5303,150
2025-10-26T02:52:49.801059,GAZE,223,858,5637,160
2025-10-26T02:52:50.136753,GAZE,205,816,5971,170
2025-10-26T02:52:50.460930,GAZE,197,762,6297,180
2025-10-26T02:52:50.783414,GAZE,398,692,6619,190
2025-10-26T02:52:51.129620,GAZE,1011,541,6965,200
2025-10-26T02:52:51.467423,GAZE,675,698,7303,210
2025-10-26T02:52:51.800574,GAZE,323,934,7636,220
2025-10-26T02:52:52.137484,GAZE,122,930,7973,230
2025-10-26T02:52:52.440886,GAZE,103,734,8277,240
2025-10-26T02:52:52.781731,GAZE,111,750,8617,250
2025-10-26T02:52:53.121364,GAZE,34,836,8957,260
2025-10-26T02:52:53.459546,GAZE,237,1080,9295,270
2025-10-26T02:52:53.787000,GAZE,319,933,9623,280
2025-10-26T02:52:54.139390,GAZE,320,796,9975,290
2025-10-26T02:52:54.437752,GAZE,420,851,10273,300
2025-10-26T02:52:54.791962,GAZE,432,927,10628,310
2025-10-26T02:52:55.117580,GAZE,294,938,10953,320
2025-10-26T02:52:55.441379,GAZE,211,790,11277,330
2025-10-26T02:52:55.785383,GAZE,92,581,11621,340
2025-10-26T02:52:56.112503,GAZE,0,601,11948,350
2025-10-26T02:52:56.439779,GAZE,27,500,12275,360
