Head Tracking Session: phase1_cycle1_1761458620691
Start Time: 2025-10-26T02:03:40.696245
==================================================
Timestamp (ms), Pitch, Yaw, Roll, Direction
1761458623791, 0.00, 0.00, 0.00, Forward
1761458623840, -1.29, -0.57, -0.54, Forward
1761458623888, -1.71, -0.18, -0.80, Forward
1761458623941, -1.94, -0.24, -0.90, Forward
1761458623992, -1.70, 0.11, -0.59, Forward
1761458624048, -1.93, 0.41, -0.46, Forward
1761458624099, -2.15, 0.45, -0.32, Forward
1761458624146, -2.28, 0.47, -0.17, Forward
1761458624192, -2.37, 0.54, -0.05, Forward
1761458624239, -2.44, 0.54, 0.08, Forward
1761458624289, -2.90, 0.53, 0.13, Forward
1761458624337, -3.16, 0.65, 0.24, Forward
1761458624384, -3.47, 0.45, 0.48, Forward
1761458624449, -3.91, 0.32, 0.56, Forward
1761458624495, -6.95, -2.39, 16.89, Forward
1761458624541, -9.76, -5.14, 33.28, Forward
1761458624588, -10.34, -5.35, 33.12, Down
1761458624636, -11.00, -5.55, 32.89, Down
1761458624685, -11.63, -5.83, 32.73, Down
1761458624752, -12.37, -5.91, 32.53, Down
1761458624800, -12.90, -5.94, 32.43, Down
1761458624849, -13.38, -5.96, 32.37, Down
1761458624896, -13.63, -6.02, 32.26, Down
1761458624942, -13.82, -5.97, 32.29, Down
1761458624988, -11.64, -3.45, 15.83, Down
1761458625049, -9.35, -0.81, -0.67, Forward
1761458625099, -9.24, -0.54, -0.66, Forward
1761458625155, -9.10, -0.31, -0.62, Forward
1761458625206, -9.15, -0.06, -0.69, Forward
1761458625252, -11.90, -2.19, 15.60, Down
1761458625300, -14.56, -4.37, 31.89, Down
1761458625345, -17.29, -6.54, 48.19, Down
1761458625388, -20.25, -8.52, 64.47, Down
1761458625439, -23.20, -10.63, 80.68, Left
1761458625485, -23.39, -10.48, 80.55, Left
1761458625533, -23.64, -10.40, 80.44, Left
1761458625583, -23.91, -10.38, 80.36, Left
1761458625649, -26.78, -12.61, 96.75, Left
1761458625697, -29.50, -14.81, 113.21, Left
1761458625743, -29.51, -14.82, 113.23, Left
1761458625836, -29.39, -14.64, 113.40, Left
1761458625885, -29.10, -14.62, 113.53, Left
1761458625934, -28.83, -14.54, 113.64, Left
1761458625984, -25.95, -12.17, 97.30, Left
1761458626032, -25.80, -12.17, 97.35, Left
1761458626080, -28.21, -14.38, 113.92, Left
1761458626146, -30.67, -16.64, 130.47, Left
1761458626192, -30.50, -16.62, 130.57, Left
1761458626238, -30.43, -16.61, 130.61, Left
1761458626288, -30.17, -16.51, 130.75, Left
1761458626335, -30.08, -16.51, 130.79, Left
1761458626385, -27.68, -14.13, 114.19, Left
1761458626449, -27.49, -14.15, 114.20, Left
1761458626499, -29.78, -16.41, 130.76, Left
1761458626550, -29.86, -16.28, 130.69, Left
1761458626651, -27.42, -13.86, 114.14, Left
1761458626702, -24.84, -11.44, 97.56, Left
1761458626765, -22.27, -9.01, 80.96, Down
1761458626827, -22.05, -9.05, 81.01, Down
1761458626873, -22.21, -9.15, 80.91, Down
1761458626926, -22.26, -9.21, 80.85, Down
1761458626971, -24.63, -11.62, 97.42, Left
1761458627016, -24.70, -11.67, 97.41, Left
1761458627077, -24.77, -11.67, 97.43, Left
1761458627137, -27.07, -14.02, 114.05, Left
1761458627184, -29.37, -16.45, 130.69, Left
1761458627250, -31.90, -18.75, 147.26, Left
1761458627301, -34.51, -21.06, 163.82, Left
1761458627350, -34.66, -21.06, 163.70, Left
1761458627398, -34.31, -20.99, 163.78, Left
1761458627445, -34.18, -21.07, 163.77, Left
1761458627489, -31.70, -18.74, 147.20, Left
1761458627536, -29.23, -16.27, 130.60, Left
1761458627584, -29.31, -16.30, 130.48, Left
1761458627634, -29.35, -16.34, 130.42, Left
1761458627684, -26.85, -14.14, 113.81, Left
1761458627742, -24.28, -11.87, 97.20, Left
